MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.50
8,7,6,7,8,7,6,7,6,7,8,7,5,6,7,8,8,7,7,6,0.72
2,3,3,2,2,3,3,2,3,2,3,3,2,2,3,2,3,2,3,3,0.28
9,9,8,9,8,9,8,9,8,9,9,8,7,8,9,9,9,8,9,8,0.88
4,5,4,3,5,4,5,4,4,3,5,4,3,4,5,4,5,3,4,4,0.43
7,8,7,6,8,7,7,8,7,6,8,7,5,6,8,7,8,6,7,7,0.68
3,4,3,3,4,3,4,3,3,3,4,3,2,3,4,3,4,3,3,3,0.34
6,6,6,5,6,6,5,6,5,6,6,6,4,5,6,6,6,5,6,5,0.58
8,9,8,8,9,8,9,8,8,9,8,9,7,8,9,8,9,8,8,9,0.84
2,2,3,2,3,2,2,3,2,2,3,2,2,2,3,2,3,2,2,3,0.24
5,6,5,4,6,5,5,5,6,4,5,6,4,5,6,5,6,4,5,5,0.52
7,7,8,7,7,8,7,7,8,7,8,7,6,7,8,7,8,7,7,8,0.75
4,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,0.37
9,8,9,9,8,9,9,8,9,8,9,9,8,9,8,9,9,8,9,9,0.91
3,5,4,3,5,3,4,4,3,4,5,4,3,4,5,3,4,4,3,4,0.41
6,7,6,6,7,6,7,6,7,6,7,6,5,6,7,6,7,6,6,7,0.65
8,7,9,8,7,9,8,9,7,8,9,8,6,8,9,8,9,7,8,9,0.82
4,4,5,4,4,5,4,5,4,4,5,4,3,4,5,4,5,4,4,5,0.46
7,8,7,8,8,7,8,7,8,7,8,8,6,7,8,8,7,8,7,8,0.76
2,3,2,3,2,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,0.27
